date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:24:34	107835/107835	---MCZ	200	added ('OK')	text/html	date:Sun,%2025%20Feb%202024%2018:36:40%20GMT	https://spruko.com/demo/ynex/dist/html/index.html	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/html/index.html	(from )
19:24:35	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2023%20Mar%202024%2012:24:35%20GMT	https://spruko.com/robots.txt		(from )
19:24:36	10787/10787	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Feb%202024%2018:26:46%20GMT	https://spruko.com/demo/ynex/dist/assets/js/main.js	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/js/main.js	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:36	81853/81853	---M--	200	added ('OK')	application/javascript	date:Sat,%2024%20Feb%202024%2018:26:26%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/choices.js/public/assets/scripts/choices.min.js	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/choices.js/public/assets/scripts/choices.min.js	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:38	382/382	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2019:31:28%20GMT	https://spruko.com/demo/ynex/dist/assets/css/icons.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/css/icons.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:38	3861/3861	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:28%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/node-waves/waves.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/node-waves/waves.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:39	2950/2950	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:28%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/simplebar/simplebar.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/simplebar/simplebar.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:39	232803/232803	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:26%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/bootstrap/css/bootstrap.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/bootstrap/css/bootstrap.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:39	16166/16166	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:28%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/flatpickr/flatpickr.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/flatpickr/flatpickr.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:39	9216/9216	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:26%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/@simonwep/pickr/themes/nano.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:40	6673/6673	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:26%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/choices.js/public/assets/styles/choices.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/choices.js/public/assets/styles/choices.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:40	2144/2144	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:28%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/jsvectormap/css/jsvectormap.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/jsvectormap/css/jsvectormap.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
19:24:41	16493/16493	---M--	200	added ('OK')	text/css	date:Sat,%2024%20Feb%202024%2018:26:28%20GMT	https://spruko.com/demo/ynex/dist/assets/libs/swiper/swiper-bundle.min.css	E:/Year%204%20Camvyber/Lesson%20Foundation/JavaScript/personal%20web/spruko.com/demo/ynex/dist/assets/libs/swiper/swiper-bundle.min.css	(from https://spruko.com/demo/ynex/dist/html/index.html)
